Investor Name
JP GanManaging PartnerQiming Venture Partners
Shweta BhatiaPartnerEight Roads Ventures
Hans TungManaging PartnerGGV Capital
Nisa LeungManaging PartnerQiming Venture Partners
Harry ManPartnerMatrix Partners
Melissa GuzyCo-founder & Managing PartnerArbor Ventures
Ravi LambahSenior Managing DirectorTemasek
Haiyan WuCo-founder & Managing PartnerChina Growth Capital
Abheek AnandManaging DirectorSequoia Capital
Vikram VaidyanathanManaging DirectorMatrix Partners India
Cindy ChowExecutive Director & CEOAlibaba Hong Kong Entrepreneurs Fund
Kenny ManHead of International InvestmentAnt Financial (Alibaba)
Yuan LiuManaging DirectorZhenFund
Nick StocksGeneral PartnerWhite Star Capital
Edith YeungManaging PartnerProof of Capital
Mancy SunManaging DirectorGoldman Sachs Principal Strategic Investments
Sean O'SullivanFounder & Managing DirectorSOSV
Shailesh RaoPartnerTPG Growth/The Rise Fund
"Donald LaceyCOO and Managing Director, Ping An Global VoyagerPing An Group"
Jing UlrichVice Chairman of Global Banking and Asia PacificJP Morgan
Helen WongPartnerQiming Venture Partners
Saemin AhnManaging PartnerRakuten Ventures
Jackey WangVenture Partner500 Startups
Hugh CampbellFounder & Managing PartnerGP Bullhound
SC MoattiManaging PartnerMighty Capital
Julien MialaretOperating PartnerIdinvest Partners
Daisy CaiPartnerGaocheng Capital
Jixun FooManaging PartnerGGV Capital
William Bao BeanGeneral Partner & Managing DirectorSOSV Chinaccelerator MOX
Erhai LiuFounder & Managing PartnerJoy Capital
Peng T. OngManaging PartnerMonk's Hill Ventures
Carmen YuenPartnerVertex Ventures
Michael LintsPartnerGolden Gate Ventures
Maya Horgan FamoduPartnerIngressive
Wei ZhouFounding Managing PartnerCCV
Anna XuFounding PartnerHike Capital
Lincoln YehExecutive DirectorTencent Investment
Anne GheriniVP of Marketing and PartnershipsAffinity
Khairul AnnuarPartnerGobi Partners
Cheesan ChewCOORBC Ventures
Thanapong Na RanongManaging DirectorBeacon VC
Heang ChhorFounder & Managing PartnerQualgro VC
Hsien-Hui TongHead of Venture InvestingSGInnovate
Richard MorganFund ManagerM & L Capital Management
Chris YeoHead of Grab VenturesGrab
Karen Contet FarzamFounder & CEOAngelHub
Eric ManlunasFounder & Managing PartnerWavemaker Partners
Mark SheppardFund ManagerM & L Capital Management
Dan Chong Tian TaumManaging DirectorGobi Partners
Olaf SakkersPartnerManiv Mobility
Ericson ChanCEOPing An Technology
Bonnie CheungVenture Partner500 Startups
Cynthia MengPartnerBrunswick Group
Osamu IwasawaCEO & Managing PartnerUB Ventures
Brian BuehlingFounder and CEODakota Systems
Chenoa FarnsworthManaging PartnerBlue Startups
Matthias KnoblochManaging DirectorBetatron
Cyril EbersweilerGeneral PartnerSOSV
"Conrad BurkeVice President, New VenturesISF Incubator (Intellectual Ventures)"
Rafiq AhmedManaging DirectorDipalo Ventures
Richard TaoChairmanNew Heritage Investments Limited
Takuya MiyataGeneral PartnerScrum Ventures
Chua Boon PingCEOSPH Ventures
Wayne ShiongPartnerChina Growth Capital
Weichou SuPartnerStepStone Group
Oscar RamosManaging DirectorSOSV
"Takayuki InagawaPresident & CEONTT DOCOMO Ventures, Inc."
Carman ChanFounder & Managing PartnerClick Ventures
Ethan PierseFounding DirectorCryptoAssets Institute
Jack ChanDirectorGP Bullhound
Marvin LiaoPartner500 Startups
Vikas RajManaging DirectorAccion Venture Lab
Anvesh RamineniManaging DirectorMassMutual Ventures
Mui Hoon PohManaging DirectorTransformX Global
Pierre SchurmannManaging DirectorBossa Nova Investimentos
Peter KochCEOMartin Global
Alexander NowotnyManaging PartnerGlobal Technology Alliance GTA Ltd.
